Lighting Day
Music Play
BackgroundType Background1
Background Sky     0 1.25 1.5  640 384
Background Stars   0 1.25 1.65 640 384
Tile Plat 67 13 1 1 0 0
Tile Plat 67 12 1 1 0 0
Tile Steel2 72 3 1 1 0 0
Tile Steel2 71 3 1 1 0 0
Tile Steel2 70 3 1 1 0 0
Tile Steel2 69 3 1 1 0 0
Tile Steel2 68 3 1 1 0 0
Tile Steel2 67 3 1 1 0 0
Tile Steel2 68 12 1 1 0 0
Tile Steel2 69 12 1 1 0 0
Tile Steel2 70 12 1 1 0 0
Tile Steel2 71 11 1 1 0 0
Tile Steel2 72 10 1 1 0 0
Tile Steel2 73 3 1 1 0 0
Tile Steel2 74 2 1 1 0 0
Tile Steel2 75 1 1 1 0 0
Tile Steel2 76 1 1 1 0 0
Tile Steel2 77 1 1 1 0 0
Tile Steel2 78 1 1 1 0 0
Tile Steel2 79 1 1 1 0 0
Tile Steel2 80 1 1 1 0 0
Tile Steel2 81 1 1 1 0 0
Tile Steel2 82 1 1 1 0 0
Tile Steel2 83 1 1 1 0 0
Tile Steel2 84 1 1 1 0 0
Tile Steel2 85 1 1 1 0 0
Tile Steel2 86 1 1 1 0 0
Tile Steel2 87 1 1 1 0 0
Tile Steel2 88 1 1 1 0 0
Tile Steel2 89 1 1 1 0 0
Tile Steel2 90 1 1 1 0 0
Tile Steel2 73 10 1 1 0 0
Tile Steel2 74 10 1 1 0 0
Tile Steel2 75 10 1 1 0 0
Tile Steel2 76 10 1 1 0 0
Tile Steel2 77 10 1 1 0 0
Tile Steel2 78 10 1 1 0 0
Tile Steel2 79 10 1 1 0 0
Tile Steel2 80 10 1 1 0 0
Tile Steel2 81 10 1 1 0 0
Tile Steel2 82 10 1 1 0 0
Tile Steel2 83 10 1 1 0 0
Tile Steel2 84 10 1 1 0 0
Tile Steel2 85 10 1 1 0 0
Tile Steel2 86 10 1 1 0 0
Tile Steel2 87 10 1 1 0 0
Tile Steel2 88 10 1 1 0 0
Tile Steel2 90 10 1 1 0 0
Tile Steel2 91 10 1 1 0 0
Tile SpikeDown 82 9 1 1 1 0
Tile Steel2 92 10 1 1 0 0
Tile SpikeUp 84 2 1 1 1 0
Tile SpikeUp 85 2 1 1 1 0
Tile SpikeUp 86 2 1 1 1 0
Tile SpikeDown 81 9 1 1 1 0
Tile SpikeDown 83 9 1 1 1 0
Tile SpikeUp 75 2 1 1 1 0
Tile SpikeUp 76 2 1 1 1 0
Tile SpikeUp 77 2 1 1 1 0
Tile SpikeDown 90 9 1 1 1 0
Tile SpikeDown 91 9 1 1 1 0
Tile SpikeDown 92 9 1 1 1 0
Npc WormIdle 29 6 1 4 1 0 0.75 3 Patrol 2 29 6 23 6
Npc DemonIdle 50 4 1 3 2 0 0.75 3 Follow
Tile Steel2 92 1 1 1 0 0
Tile Steel2 91 1 1 1 0 0
Tile Steel 98 2 1 1 0 0
Tile Steel 98 1 1 1 0 0
Tile Steel 98 0 1 1 0 0
Tile Steel 99 0 1 1 0 0
Tile Steel 99 1 1 1 0 0
Tile Steel 99 2 1 1 0 0
Tile Steel 100 2 1 1 0 0
Tile Steel 100 1 1 1 0 0
Tile Steel 100 0 1 1 0 0
Tile Steel 101 0 1 1 0 0
Tile Steel 101 1 1 1 0 0
Tile Steel 101 2 1 1 0 0
Tile Steel 102 2 1 1 0 0
Tile Steel 102 1 1 1 0 0
Tile Steel 102 0 1 1 0 0
Tile Steel 97 0 1 1 0 0
Tile Steel 97 1 1 1 0 0
Tile Steel 96 1 1 1 0 0
Tile Steel 96 0 1 1 0 0
Tile Steel 103 0 1 1 0 0
Tile Steel 103 1 1 1 0 0
Tile WarningCan 100 3 1 1 0 0
Tile Steel 103 2 1 1 0 0
Tile Steel2 92 15 1 1 0 0
Tile Steel2 92 14 1 1 0 0
Tile Steel2 92 13 1 1 0 0
Tile Steel2 92 12 1 1 0 0
Tile Steel2 92 11 1 1 0 0
Tile Steel2 92 16 1 1 0 0
Tile Steel2 92 17 1 1 0 0
Tile Steel2 92 18 1 1 0 0
Tile Steel2 92 19 1 1 0 0
Tile Steel2 92 20 1 1 0 0
Tile Steel2 92 21 1 1 0 0
Tile Steel2 92 22 1 1 0 0
Tile Steel2 92 23 1 1 0 0
Tile Steel2 92 24 1 1 0 0
Tile Steel2 92 25 1 1 0 0
Tile Steel2 92 26 1 1 0 0
Tile Steel2 92 27 1 1 0 0
Tile Steel2 92 28 1 1 0 0
Tile Steel2 92 29 1 1 0 0
Tile Plat 93 27 1 1 0 0
Tile Plat 94 27 1 1 0 0
Tile Plat 95 27 1 1 0 0
Tile Plat 96 27 1 1 0 0
Tile Plat 97 27 1 1 0 0
Tile Plat 98 27 1 1 0 0
Tile Plat 99 27 1 1 0 0
Tile Plat 100 27 1 1 0 0
Tile Plat 101 27 1 1 0 0
Tile Plat 102 27 1 1 0 0
Tile Plat 103 27 1 1 0 0
Tile Plat 104 27 1 1 0 0
Tile Plat 104 19 1 1 0 0
Tile Plat 105 19 1 1 0 0
Tile Plat 106 19 1 1 0 0
Tile Plat 107 19 1 1 0 0
Tile Plat 108 19 1 1 0 0
Tile Plat 109 19 1 1 0 0
Tile Plat 105 27 1 1 0 0
Tile Steel2 89 10 1 1 0 0
Item BlueBolt 109 20
Tile Plat 106 27 1 1 0 0
Tile Plat 107 27 1 1 0 0
Tile Plat 108 27 1 1 0 0
Tile Plat 109 27 1 1 0 0
Tile Plat 110 27 1 1 0 0
Tile Plat 111 27 1 1 0 0
Tile Plat 110 18 1 1 0 0
Tile Plat 111 17 1 1 0 0
Tile Plat 112 16 1 1 0 0
Tile Plat 113 15 1 1 0 0
Tile Plat 114 14 1 1 0 0
Tile Plat 104 18 1 1 0 0
Tile Plat 104 17 1 1 0 0
Tile Plat 104 16 1 1 0 0
Tile Plat 104 15 1 1 0 0
Tile Plat 104 14 1 1 0 0
Tile Plat 104 13 1 1 0 0
Tile Plat 104 12 1 1 0 0
Tile Plat 104 11 1 1 0 0
Tile Plat 104 10 1 1 0 0
Tile Plat 104 9 1 1 0 0
Tile Plat 104 8 1 1 0 0
Tile Plat 104 7 1 1 0 0
Tile Plat 104 6 1 1 0 0
Tile Plat 104 5 1 1 0 0
Tile Plat 104 4 1 1 0 0
Tile Plat 104 3 1 1 0 0
Tile Plat 104 2 1 1 0 0
Tile Plat 114 13 1 1 0 0
Tile Plat 114 12 1 1 0 0
Tile Plat 114 11 1 1 0 0
Tile Plat 114 10 1 1 0 0
Tile Plat 114 9 1 1 0 0
Tile Plat 114 8 1 1 0 0
Tile Plat 114 7 1 1 0 0
Tile Plat 114 6 1 1 0 0
Tile Plat 114 5 1 1 0 0
Tile Plat 114 4 1 1 0 0
Tile Plat 114 3 1 1 0 0
Tile Plat 114 2 1 1 0 0
Tile Plat 114 1 1 1 0 0
Tile Plat 114 0 1 1 0 0
Tile Steel 19 4 1 1 0 0
Tile Steel 19 3 1 1 0 0
Tile Steel 19 2 1 1 0 0
Tile Steel 19 1 1 1 0 0
Tile Plat 19 0 1 1 0 0
Item BlueShield 69 4
Tile Plat 138 12 1 1 0 0
Tile Plat 138 11 1 1 0 0
Tile Plat 138 10 1 1 0 0
Tile Plat 138 9 1 1 0 0
Tile Plat 138 8 1 1 0 0
Tile Plat 138 7 1 1 0 0
Tile Plat 138 6 1 1 0 0
Tile Plat 138 5 1 1 0 0
Tile Plat 138 4 1 1 0 0
Tile Plat 138 3 1 1 0 0
Tile Plat 138 2 1 1 0 0
Tile Plat 138 1 1 1 0 0
Tile Plat 138 0 1 1 0 0
Tile Plat 139 12 1 1 0 0
Tile Plat 140 12 1 1 0 0
Tile Plat 141 12 1 1 0 0
Tile Plat 142 12 1 1 0 0
Tile Plat 143 12 1 1 0 0
Tile Plat 144 12 1 1 0 0
Tile Plat 145 11 1 1 0 0
Tile Plat 146 10 1 1 0 0
Tile Plat 147 9 1 1 0 0
Tile Plat 148 8 1 1 0 0
Tile Plat 149 7 1 1 0 0
Tile Plat 150 6 1 1 0 0
Tile Plat 151 5 1 1 0 0
Tile Plat 152 4 1 1 0 0
Tile Plat 153 3 1 1 0 0
Tile Plat 154 2 1 1 0 0
Tile Plat 155 1 1 1 0 0
Tile Plat 156 0 1 1 0 0
Tile Plat 157 0 1 1 0 0
Tile Plat 158 0 1 1 0 0
Tile Plat 159 0 1 1 0 0
Tile Plat 160 0 1 1 0 0
Tile Plat 161 0 1 1 0 0
Tile Plat 162 0 1 1 0 0
Tile Plat 163 0 1 1 0 0
Tile Plat 164 0 1 1 0 0
Tile Plat 165 0 1 1 0 0
Tile Plat 166 0 1 1 0 0
Tile Plat 167 0 1 1 0 0
Tile Plat 168 0 1 1 0 0
Tile Plat 169 0 1 1 0 0
Tile Plat 170 0 1 1 0 0
Tile Plat 171 0 1 1 0 0
Tile Plat 172 0 1 1 0 0
Tile Plat 173 0 1 1 0 0
Tile Plat 174 0 1 1 0 0
Tile Plat 175 0 1 1 0 0
Tile Plat 176 0 1 1 0 0
Tile Plat 177 0 1 1 0 0
Tile Plat 178 0 1 1 0 0
Tile Plat 179 0 1 1 0 0
Tile Plat 155 24 1 1 0 0
Tile Plat 156 24 1 1 0 0
Tile Plat 157 24 1 1 0 0
Tile Plat 158 24 1 1 0 0
Tile Plat 159 24 1 1 0 0
Tile Plat 160 24 1 1 0 0
Tile Plat 161 24 1 1 0 0
Tile Plat 162 24 1 1 0 0
Tile Plat 163 24 1 1 0 0
Tile Plat 164 24 1 1 0 0
Tile Plat 165 24 1 1 0 0
Tile Plat 166 24 1 1 0 0
Tile Plat 167 24 1 1 0 0
Tile Plat 168 24 1 1 0 0
Tile Plat 169 24 1 1 0 0
Tile Plat 170 24 1 1 0 0
Tile Plat 171 24 1 1 0 0
Tile Plat 172 24 1 1 0 0
Tile Plat 173 24 1 1 0 0
Tile Plat 174 24 1 1 0 0
Tile Plat 175 24 1 1 0 0
Tile Plat 176 24 1 1 0 0
Tile Plat 177 24 1 1 0 0
Tile Plat 178 24 1 1 0 0
Tile Plat 179 24 1 1 0 0
Tile Plat 180 24 1 1 0 0
Tile Plat 180 0 1 1 0 0
Tile Plat 180 1 1 1 0 0
Tile Plat 180 2 1 1 0 0
Tile Plat 180 3 1 1 0 0
Tile Plat 180 4 1 1 0 0
Tile Plat 180 5 1 1 0 0
Tile Plat 180 6 1 1 0 0
Tile Plat 180 7 1 1 0 0
Tile Plat 180 8 1 1 0 0
Tile Plat 180 9 1 1 0 0
Tile Plat 180 10 1 1 0 0
Tile Plat 180 11 1 1 0 0
Tile Plat 180 12 1 1 0 0
Tile Plat 180 13 1 1 0 0
Tile Plat 180 14 1 1 0 0
Tile Plat 180 15 1 1 0 0
Tile Plat 180 16 1 1 0 0
Tile Plat 180 17 1 1 0 0
Tile Plat 180 18 1 1 0 0
Tile Plat 180 19 1 1 0 0
Tile Plat 180 20 1 1 0 0
Tile Plat 180 21 1 1 0 0
Tile Plat 180 22 1 1 0 0
Tile Plat 180 23 1 1 0 0
Tile Plat 154 24 1 1 0 0
Tile Plat 153 24 1 1 0 0
Tile Plat 152 24 1 1 0 0
Tile Plat 151 24 1 1 0 0
Tile Plat 150 24 1 1 0 0
Tile Plat 149 24 1 1 0 0
Tile Plat 148 24 1 1 0 0
Tile Plat 147 24 1 1 0 0
Tile Plat 138 20 1 1 0 0
Tile Plat 139 20 1 1 0 0
Tile Plat 140 20 1 1 0 0
Tile Plat 141 20 1 1 0 0
Tile Plat 142 20 1 1 0 0
Tile Plat 143 20 1 1 0 0
Tile Plat 144 20 1 1 0 0
Tile Plat 145 20 1 1 0 0
Tile Plat 147 21 1 1 0 0
Tile Plat 147 20 1 1 0 0
Tile Plat 146 20 1 1 0 0
Tile Plat 147 22 1 1 0 0
Tile Plat 147 23 1 1 0 0
Tile Plat 137 20 1 1 0 0
Tile Plat 136 20 1 1 0 0
Tile Plat 135 20 1 1 0 0
Tile Plat 134 20 1 1 0 0
Tile Plat 133 20 1 1 0 0
Tile Plat 132 20 1 1 0 0
Tile Plat 131 20 1 1 0 0
Tile Plat 130 20 1 1 0 0
Tile Plat 129 20 1 1 0 0
Tile Plat 128 20 1 1 0 0
Tile Plat 127 20 1 1 0 0
Tile Plat 126 20 1 1 0 0
Tile Plat 125 20 1 1 0 0
Tile Plat 124 20 1 1 0 0
Tile Plat 123 20 1 1 0 0
Tile Plat 122 20 1 1 0 0
Tile Plat 121 20 1 1 0 0
Tile Plat 120 20 1 1 0 0
Tile Plat 119 20 1 1 0 0
Tile Plat 118 20 1 1 0 0
Tile Plat 117 20 1 1 0 0
Tile Plat 116 21 1 1 0 0
Tile Plat 115 22 1 1 0 0
Tile Plat 114 23 1 1 0 0
Tile Plat 113 24 1 1 0 0
Tile Plat 112 25 1 1 0 0
Tile Plat 111 26 1 1 0 0
Tile SpikeDown 117 19 1 1 1 0
Tile SpikeDown 118 19 1 1 1 0
Tile SpikeDown 119 19 1 1 1 0
Tile SpikeDown 120 19 1 1 1 0
Tile SpikeDown 121 19 1 1 1 0
Tile SpikeDown 122 19 1 1 1 0
Tile SpikeDown 123 19 1 1 1 0
Tile SpikeDown 124 19 1 1 1 0
Tile SpikeDown 125 19 1 1 1 0
Tile SpikeDown 126 19 1 1 0 0
Tile SpikeDown 127 19 1 1 1 0
Tile SpikeDown 128 19 1 1 1 0
Tile SpikeDown 129 19 1 1 1 0
Tile SpikeDown 130 19 1 1 1 0
Tile SpikeDown 131 19 1 1 1 0
Tile SpikeDown 132 19 1 1 1 0
Tile SpikeDown 133 19 1 1 1 0
Tile SpikeDown 134 19 1 1 1 0
Tile SpikeDown 135 19 1 1 1 0
Tile SpikeDown 136 19 1 1 1 0
Tile Plat 174 1 1 1 0 0
Tile Plat 175 1 1 1 0 0
Tile Plat 176 1 1 1 0 0
Tile Plat 177 1 1 1 0 0
Tile Plat 175 2 1 1 0 0
Tile Plat 176 2 1 1 0 0
Tile Spaceship 175 3 1 1 0 0
Npc WormIdle 171 1 1 6 1 0 0.75 2 Patrol 2 171 1 160 1
Tile LargePltfrm 116 13 1 1 0 2 2 116 13 126 13
Tile LargePltfrm 134 10 1 1 0 1 2 134 10 130 10
Dec Plat 0 13
Dec Plat 1 13
Dec Plat 2 13
Dec Plat 3 13
Dec Plat 4 13
Dec Plat 5 13
Dec Plat 6 13
Dec Plat 7 13
Dec Plat 8 13
Dec Plat 9 13
Dec Plat 10 13
Dec Plat 11 13
Dec Plat 12 13
Dec Plat 13 13
Dec Plat 14 13
Dec Plat 15 13
Dec Plat 16 13
Dec Plat 17 13
Dec Plat 18 13
Dec Plat 19 13
Dec Plat 19 14
Dec Plat 18 14
Dec Plat 17 14
Dec Plat 16 14
Dec Plat 15 14
Dec Plat 14 14
Dec Plat 13 14
Dec Plat 12 14
Dec Plat 11 14
Dec Plat 10 14
Dec Plat 9 14
Dec Plat 8 14
Dec Plat 7 14
Dec Plat 6 14
Dec Plat 5 14
Dec Plat 4 14
Dec Plat 3 14
Dec Plat 2 14
Dec Plat 1 14
Dec Plat 0 14
Dec Plat 0 15
Dec Plat 1 15
Dec Plat 2 15
Dec Plat 3 15
Dec Plat 4 15
Dec Plat 5 15
Dec Plat 6 15
Dec Plat 7 15
Dec Plat 8 15
Dec Plat 9 15
Dec Plat 10 15
Dec Plat 11 15
Dec Plat 12 15
Dec Plat 13 15
Dec Plat 14 15
Dec Plat 15 15
Dec Plat 16 15
Dec Plat 17 15
Dec Plat 18 15
Dec Plat 19 15
Dec Plat 19 16
Dec Plat 18 16
Dec Plat 17 16
Dec Plat 16 16
Dec Plat 15 16
Dec Plat 14 16
Dec Plat 13 16
Dec Plat 12 16
Dec Plat 11 16
Dec Plat 10 16
Dec Plat 9 16
Dec Plat 8 16
Dec Plat 7 16
Dec Plat 6 16
Dec Plat 5 16
Dec Plat 4 16
Dec Plat 3 16
Dec Plat 2 16
Dec Plat 1 16
Dec Plat 0 16
Dec Plat 0 17
Dec Plat 1 17
Dec Plat 2 17
Dec Plat 3 17
Dec Plat 4 17
Dec Plat 5 17
Dec Plat 6 17
Dec Plat 7 17
Dec Plat 8 17
Dec Plat 9 17
Dec Plat 10 17
Dec Plat 11 17
Dec Plat 12 17
Dec Plat 13 17
Dec Plat 14 17
Dec Plat 15 17
Dec Plat 16 17
Dec Plat 17 17
Dec Plat 18 17
Dec Plat 19 17
Dec Steel 18 3
Dec Steel 17 2
Dec Steel 18 2
Dec Steel 18 1
Dec Steel 17 1
Dec Steel 16 1
Dec Plat 16 0
Dec Plat 17 0
Dec Plat 18 0
Dec Plat 3 0
Dec Plat 3 1
Dec Plat 4 0
Dec Plat 2 0
Dec Plat 2 1
Dec Plat 1 0
Dec Plat 1 1
Dec Plat 0 1
Dec Plat 0 0
Dec Alarm 1 3
Dec Alarm 3 3
Dec Sticker 15 1
Dec Sticker 18 4
Dec Plat 20 16
Dec Plat 20 17
Dec Plat 21 17
Dec Plat 21 16
Dec Plat 22 16
Dec Plat 22 17
Dec Plat 23 17
Dec Plat 23 16
Dec Plat 24 16
Dec Plat 25 16
Dec Plat 26 16
Dec Plat 27 16
Dec Plat 28 16
Dec Plat 29 16
Dec Plat 30 16
Dec Plat 31 16
Dec Plat 32 16
Dec Plat 33 16
Dec Plat 34 16
Dec Plat 35 16
Dec Plat 35 17
Dec Plat 36 17
Dec Plat 36 16
Dec Plat 34 17
Dec Plat 33 17
Dec Plat 32 17
Dec Plat 31 17
Dec Plat 30 17
Dec Plat 29 17
Dec Plat 28 17
Dec Plat 27 17
Dec Plat 26 17
Dec Plat 25 17
Dec Plat 24 17
Dec Plat 36 18
Dec Plat 36 19
Dec Plat 36 20
Dec Plat 35 20
Dec Plat 35 19
Dec Plat 35 18
Dec Plat 34 18
Dec Plat 33 18
Dec Plat 33 19
Dec Plat 33 20
Dec Plat 34 19
Dec Plat 34 20
Dec Plat 32 20
Dec Plat 31 20
Dec Plat 30 20
Dec Plat 29 20
Dec Plat 28 20
Dec Plat 27 20
Dec Plat 26 20
Dec Plat 25 20
Dec Plat 24 20
Dec Plat 23 20
Dec Plat 22 20
Dec Plat 21 20
Dec Plat 20 20
Dec Plat 19 20
Dec Plat 18 20
Dec Plat 17 20
Dec Plat 16 20
Dec Plat 15 20
Dec Plat 14 20
Dec Plat 13 20
Dec Plat 12 20
Dec Plat 11 20
Dec Plat 10 20
Dec Plat 9 20
Dec Plat 8 20
Dec Plat 7 20
Dec Plat 6 20
Dec Plat 5 20
Dec Plat 4 20
Dec Plat 3 20
Dec Plat 2 20
Dec Plat 1 20
Dec Plat 0 20
Dec Plat 0 19
Dec Plat 0 18
Dec Plat 1 18
Dec Plat 1 19
Dec Plat 2 19
Dec Plat 3 19
Dec Plat 3 18
Dec Plat 2 18
Dec Plat 4 19
Dec Plat 4 18
Dec Plat 5 19
Dec Plat 6 19
Dec Plat 6 18
Dec Plat 5 18
Dec Plat 7 19
Dec Plat 8 19
Dec Plat 8 18
Dec Plat 7 18
Dec Plat 9 19
Dec Plat 10 19
Dec Plat 9 18
Dec Plat 11 19
Dec Plat 12 19
Dec Plat 13 19
Dec Plat 12 18
Dec Plat 11 18
Dec Plat 10 18
Dec Plat 14 18
Dec Plat 15 18
Dec Plat 13 18
Dec Plat 16 18
Dec Plat 17 18
Dec Plat 14 19
Dec Plat 16 19
Dec Plat 17 19
Dec Plat 18 19
Dec Plat 15 19
Dec Plat 19 19
Dec Plat 20 19
Dec Plat 21 19
Dec Plat 18 18
Dec Plat 19 18
Dec Plat 20 18
Dec Plat 21 18
Dec Plat 22 18
Dec Plat 24 18
Dec Plat 25 18
Dec Plat 26 19
Dec Plat 25 19
Dec Plat 23 19
Dec Plat 22 19
Dec Plat 24 19
Dec Plat 27 19
Dec Plat 23 18
Dec Plat 26 18
Dec Plat 27 18
Dec Plat 28 18
Dec Plat 30 18
Dec Plat 31 18
Dec Plat 32 18
Dec Plat 29 18
Dec Plat 31 19
Dec Plat 30 19
Dec Plat 29 19
Dec Plat 28 19
Dec Plat 32 19
Dec ArrowUp 53 6
Dec ArrowUp 53 7
Dec ArrowUp 53 8
Dec ArrowUp 52 8
Dec ArrowUp 53 9
Dec ArrowUp 54 8
Dec Plat 55 2
Dec Plat 55 1
Dec Plat 55 0
Dec Plat 56 0
Dec Plat 56 1
Dec Plat 56 2
Dec Plat 57 2
Dec Plat 57 1
Dec Plat 58 1
Dec Plat 58 0
Dec Plat 57 0
Dec Plat 59 1
Dec Plat 59 2
Dec Plat 60 2
Dec Plat 61 2
Dec Plat 58 2
Dec Plat 62 2
Dec Plat 63 2
Dec Plat 64 2
Dec Plat 65 2
Dec Plat 66 2
Dec Plat 66 1
Dec Plat 65 1
Dec Plat 65 0
Dec Plat 64 1
Dec Plat 63 1
Dec Plat 62 1
Dec Plat 61 1
Dec Plat 60 1
